ID,Standard,Sekce metodiky,Téma,Obtížnost,Typ,Otázka,Odpověď A,Odpověď B,Odpověď C,Správná odpověď,Správná odpověď ID,Vysvětlení,Ověřovaná kompetence,Kritické téma,Verze banky,Verze metodiky,Aktivní
SAS-001,1,Standard 1.1 – Poslání služby.,Poslání služby,ZÁKLADNÍ,znalostní,Co nejlépe vystihuje poslání SAS Emcéčko?,"Poskytovat odbornou podporu rodinám v nepříznivé sociální situaci, stabilizovat jejich fungování a posilovat rodičovské kompetence.","Přebírat za rodinu řešení klíčových problémů v době, kdy je sama nedokáže účinně zvládat, aby se situace rychle stabilizovala.",Zaměřovat podporu hlavně na vzdělávání a volný čas dětí a ostatní problémy rodiny předávat návazným službám.,A,SAS-001-A,"Služba má rodinu odborně podporovat a posilovat její schopnost situaci zvládat, nikoli přebírat její odpovědnost.",Porozumění základnímu smyslu služby.,NE,1.0,Metodika SAS Emcéčko – přiložená verze,ANO
SAS-002,1,Standard 1.4 – Zásady poskytování služby.,Nejlepší zájem dítěte,ZÁKLADNÍ,znalostní,Který zájem má být při rozhodování pracovníka SAS prioritní?,Přání dospělého klienta bez ohledu na dopad na dítě.,Nejlepší zájem a blaho dítěte.,Organizačně nejjednodušší řešení pro službu.,B,SAS-002-B,"Metodika stanovuje, že zájem dítěte je prioritní a má přednost před zájmy dospělých.",Znalost klíčového hodnotového principu služby.,ANO,1.0,Metodika SAS Emcéčko – přiložená verze,ANO
SAS-003,1,Standard 1.4 – Aktivizace a soběstačnost; Standard 1.5 – Pomoc při uplatňování práv a obstarávání osobních záležitostí.,Aktivizace a soběstačnost,STŘEDNÍ,situační,"Klient má několik nevyřízených žádostí na úřadech a požádá pracovníka: „Vy tomu rozumíte, tak to všechno vyřiďte za mě.“ Jaký postup nejlépe odpovídá metodice?","Převzít vyřizování, protože rychlý výsledek je důležitější než způsob řešení.","Administrativní záležitosti odmítnout, protože nepatří mezi činnosti SAS.","Klienta při vyřizování podpořit a podle potřeby doprovodit tak, aby se postupně zapojoval a zvládal jej samostatně.",C,SAS-003-C,"SAS poskytuje administrativní podporu a doprovod, ale současně má klienta aktivizovat a vést k samostatnosti.",Rozlišení podpory od převzetí odpovědnosti za klienta.,NE,1.0,Metodika SAS Emcéčko – přiložená verze,ANO
SAS-004,1,Standard 1.4 a Standard 5.4 – Zapojení rodiny a dítěte do plánování.,Participace dítěte,POKROČILÁ,situační,"Rodič nechce, aby se jeho desetileté dítě vyjadřovalo k plánované podpoře rodiny. Dítě přitom samo pracovníkovi sděluje, že má k situaci co říct. Jaký postup nejlépe odpovídá metodice?","Rodiči vysvětlit význam přiměřeného zapojení dítěte, vytvořit dítěti bezpečný prostor k vyjádření a jeho názor zohlednit bez přenášení odpovědnosti za plán na dítě.","Respektovat nesouhlas rodiče a názor dítěte do plánování nezahrnovat, dokud rodič výslovně nesouhlasí s jeho přímým zapojením.",Vést plánování s dítětem odděleně od rodiče a jeho vyjádření použít jako rozhodující podklad pro další postup služby.,A,SAS-004-A,"Metodika kombinuje respekt k rodině s přiměřeným zapojením dítěte podle jeho věku a schopnosti porozumět. Názor dítěte má být slyšen a zohledněn, ale dítě nepřebírá odpovědnost za celý plán.",Schopnost současně pracovat s autonomií rodiny a právem dítěte na participaci.,ANO,1.0,Metodika SAS Emcéčko – přiložená verze,ANO
SAS-005,2,"Standard 2.1 – Zásada respektu, důstojnosti a autonomie.",Dobrovolnost služby,ZÁKLADNÍ,znalostní,Klient se rozhodne ukončit spolupráci se službou. Co podle metodiky platí?,Musí uvést závažný důvod.,Může spolupráci kdykoli ukončit bez udání důvodu.,Musí nejprve dokončit aktuální individuální plán.,B,SAS-005-B,Dobrovolnost a autonomie klienta zahrnuje také právo službu odmítnout nebo spolupráci ukončit.,Znalost principu dobrovolnosti.,NE,1.0,Metodika SAS Emcéčko – přiložená verze,ANO
SAS-006,2,Standard 2.3 – Prevence střetu zájmů a přijímání darů.,Dary a střet zájmů,STŘEDNÍ,situační,Klient nabídne pracovníkovi hodnotný dárkový poukaz jako poděkování za pomoc. Jak má pracovník postupovat?,"Přijmout jej, pokud klient výslovně uvede, že za něj nic neočekává.","Přijmout jej a zaznamenat dar do spisu, aby byl postup transparentní.",Dar nepřijmout; případnou hraniční situaci konzultovat s vedoucím služby.,C,SAS-006-C,"Metodika vyžaduje předcházet situacím, které by mohly narušit nestrannost nebo vytvořit střet osobních a profesních zájmů.",Rozpoznání profesních hranic.,NE,1.0,Metodika SAS Emcéčko – přiložená verze,ANO
SAS-007,2,Standard 2.5 – Postup při porušení práv klienta.,Porušení práv klienta,STŘEDNÍ,situační,"Pracovník je svědkem toho, že kolega opakovaně komunikuje s klientem ponižujícím způsobem. Co má udělat?","Neprodleně informovat vedoucího služby, aby mohlo být podezření na porušení práv prošetřeno.",Situaci řešit pouze osobním upozorněním kolegy a dál ji neevidovat.,"Vyčkat, zda si klient sám podá formální stížnost.",A,SAS-007-A,Při zjištění nebo důvodném podezření na porušení práv klienta má pracovník bezodkladně informovat vedoucího služby.,Znalost vlastní odpovědnosti při ochraně práv klientů.,ANO,1.0,Metodika SAS Emcéčko – přiložená verze,ANO
SAS-008,2,Standard 2.4 – Informovaný souhlas a oznamovací povinnost.,Oznamovací povinnost,POKROČILÁ,situační,"Klient odmítá jakékoli sdílení informací s OSPOD. V průběhu spolupráce ale vznikne důvodné podezření na ohrožení řádného vývoje dítěte, situace přitom není bezprostředním ohrožením života. Jaký postup je nejlepší?","Nejprve se pokusit získat písemný souhlas klienta a do té doby informace nepředávat, protože situace není akutní.","Uplatnit oznamovací povinnost vůči OSPOD, předat jen potřebné informace a důvody postupu rodině citlivě vysvětlit.","Situaci nejprve projednat na nejbližší týmové poradě a oznámení učinit až tehdy, pokud se tým shodne, že souhlas klienta není potřeba.",B,SAS-008-B,"Souhlas je běžným základem pro sdílení informací, ale metodika stanovuje výjimku při zákonné oznamovací povinnosti. Oznámení se nemá odkládat čekáním na souhlas či poradu.","Rozlišení mlčenlivosti, souhlasu a zákonné povinnosti.",ANO,1.0,Metodika SAS Emcéčko – přiložená verze,ANO
SAS-009,3,Standard 3.4 – Úvodní šetření a posouzení vhodnosti.,Vstupní sociální šetření,ZÁKLADNÍ,znalostní,Co se při vstupním sociálním šetření posuzuje?,"Především ekonomickou situaci, bydlení, zdravotní stav a počet dětí v domácnosti.","Především ochotu rodiny plnit doporučení pracovníka, pravidelnost docházky a schopnost dodržovat termíny.","Potřeby a očekávání rodiny, příslušnost k cílové skupině, míru rizika, kapacitu a odborné možnosti služby.",C,SAS-009-C,Vstupní šetření má umožnit objektivně posoudit situaci rodiny i vhodnost a možnosti služby.,Znalost účelu vstupního šetření.,NE,1.0,Metodika SAS Emcéčko – přiložená verze,ANO
SAS-010,3,Standard 3.2 a 3.3 – Zásady jednání a první kontakt.,Srozumitelnost informací,STŘEDNÍ,situační,"Zájemce volá do služby a je zřejmé, že má problémy porozumět složitějším písemným informacím. Jak má pracovník postupovat?","Informace srozumitelně vysvětlit ústně, přizpůsobit jejich formu schopnostem zájemce a domluvit další postup.","Odkázat zájemce na metodiku na webu a požádat jej, aby se ozval po jejím přečtení.","Vyžádat nejprve písemnou žádost, aby bylo možné ověřit jeho skutečný zájem.",A,SAS-010-A,"Informace mají být poskytovány ve formě a jazyce, kterým je zájemce schopen porozumět.",Přizpůsobení komunikace schopnostem zájemce.,NE,1.0,Metodika SAS Emcéčko – přiložená verze,ANO
SAS-011,3,Standard 3.5 – Rozhodnutí o přijetí či odmítnutí.,Naplněná kapacita,STŘEDNÍ,situační,"Zájemce odpovídá cílové skupině, služba má ale naplněnou kapacitu. Jaký postup odpovídá Standardu 3?","Přijmout rodinu nad kapacitu, pokud je její situace závažná.","Vysvětlit kapacitní důvod, nabídnout základní poradenství či vhodné návazné služby a se souhlasem zájemce jej zařadit na čekací listinu.","Zájemce automaticky zařadit na čekací listinu a požádat jej, aby vyčkal na uvolnění kapacity bez dalšího zprostředkování.",B,SAS-011-B,"Odmítnutí nemá být pouhým administrativním uzavřením kontaktu. Metodika počítá s poradenstvím, zprostředkováním další pomoci a při kapacitním důvodu s čekací listinou se souhlasem.",Správný postup při naplněné kapacitě.,NE,1.0,Metodika SAS Emcéčko – přiložená verze,ANO
